STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
,,,10/10/2023,,,"50,434,803.021"
VTIP,2023-10-10,WORST,2023-10-16,66541.1810000000,-35077.2140000000,31463.9680000000,
VTIP,2023-10-10,WORST,2024-01-16,98724.3900000000,2885929.3530000000,2984653.7440000000,
VTIP,2023-10-10,WORST,2024-04-15,66700.2270000000,1621380.5750000000,1688080.7860000000,
VTIP,2023-10-10,WORST,2024-07-15,89705.8670000000,2619278.3820000000,2708984.2750000000,
VTIP,2023-10-10,WORST,2024-10-15,62646.7680000000,2336483.8290000000,2399130.5970000000,
VTIP,2023-10-10,WORST,2025-01-15,88068.8300000000,4029716.1910000000,4117785.0210000000,
VTIP,2023-10-10,WORST,2025-04-15,61186.4730000000,1914237.3520000000,1975423.8250000000,
VTIP,2023-10-10,WORST,2025-07-15,65668.8190000000,2628293.5680000000,2693962.3870000000,
VTIP,2023-10-10,WORST,2025-10-15,59990.0670000000,2328331.0620000000,2388321.1290000000,
VTIP,2023-10-10,WORST,2026-01-15,60740.7590000000,3266360.1790000000,3327100.9160000000,
VTIP,2023-10-10,WORST,2026-04-15,58534.8690000000,1798774.8010000000,1857309.6700000000,
VTIP,2023-10-10,WORST,2026-07-15,43294.9030000000,2204024.3190000000,2247319.2220000000,
VTIP,2023-10-10,WORST,2026-10-15,57410.6320000000,2493666.0490000000,2551076.6810000000,
VTIP,2023-10-10,WORST,2027-01-15,41917.3950000000,3072259.4390000000,3114176.8340000000,
VTIP,2023-10-10,WORST,2027-04-15,55852.0810000000,2547344.1140000000,2603196.1950000000,
VTIP,2023-10-10,WORST,2027-07-15,25964.1010000000,2267519.4530000000,2293483.5530000000,
VTIP,2023-10-10,WORST,2027-10-15,54259.9840000000,2551117.2030000000,2605377.2120000000,
VTIP,2023-10-10,WORST,2028-01-18,21712.5000000000,3268299.4240000000,3290011.9010000000,
VTIP,2023-10-10,WORST,2028-04-17,33532.1650000000,3501059.0060000000,3534591.1960000000,
VTIP,2023-10-10,WORST,2028-07-17,7559.2220000000,2015794.6880000000,2023353.9090000000,


"**For more information about Vanguard funds or Vanguard ETFs, visit vanguard.com or call 1-800-523-1036 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information are contained in the prospectus; read and consider it carefully before investing.**"
"**Vanguard ETF Shares are not redeemable with the issuing Fund other than in very large aggregations worth millions of dollars. Instead, investors must buy or sell Vanguard ETF Shares in the secondary market and hold those shares in a brokerage account. In doing so, the investor may incur brokerage commissions and may pay more than net asset value when buying and receive less than net asset value when selling.**"
"All investing is subject to risk, including the possible loss of the money you invest."
"The Vanguard Group, Inc. All rights reserved. Vanguard Marketing Corporation, Distributor of the Vanguard Funds."
