Holdings details

Large-Cap ETF (VV)


Equity,as of 08/31/2023

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2712013,Global Payments Inc.,GPN,0.09%,Transaction & Payment Processing Service,US,---,"$36,423,375.00","287,500"
,2769796,Fidelity National Information Services Inc.,FIS,0.09%,Transaction & Payment Processing Service,US,---,"$36,336,259.68","650,488"
,BKB0C57,Ferguson plc,FERG,0.09%,Trading Companies & Distributors,GB,---,"$36,308,186.60","224,735"
,BD3W133,Keurig Dr Pepper Inc.,KDP,0.09%,Soft Drinks & Non-alcoholic Beverages,US,---,"$36,284,929.60","1,078,304"
,2332262,Fastenal Co.,FAST,0.08%,Trading Companies & Distributors,US,---,"$36,088,322.58","626,751"
,B3NQ4P8,Kinder Morgan Inc.,KMI,0.08%,Oil & Gas Storage & Transportation,US,---,"$35,999,081.58","2,090,539"
,2480677,Devon Energy Corp.,DVN,0.08%,Oil & Gas Exploration & Production,US,---,"$35,990,708.13","704,457"
,2134781,United Rentals Inc.,URI,0.08%,Trading Companies & Distributors,US,---,"$35,945,412.20","75,430"
,2310194,Electronic Arts Inc.,EA,0.08%,Interactive Home Entertainment,US,---,"$35,900,295.62","299,219"
,2240202,Cummins Inc.,CMI,0.08%,Construction Machinery & Heavy Transportation Equipment,US,---,"$35,741,084.76","155,369"
,2380863,WW Grainger Inc.,GWW,0.08%,Trading Companies & Distributors,US,---,"$35,390,635.98","49,557"
,BK0VN47,DuPont de Nemours Inc.,DD,0.08%,Specialty Chemicals,US,---,"$34,856,005.47","453,323"
,2422806,Hershey Co.,HSY,0.08%,Packaged Foods & Meats,US,---,"$34,726,532.64","161,624"
,2614807,Xcel Energy Inc.,XEL,0.08%,Electric Utilities,US,---,"$34,503,492.11","603,947"
,BYNZGK1,Block Inc.,SQ,0.08%,Transaction & Payment Processing Service,US,---,"$34,426,965.80","597,172"
,2405302,Halliburton Co.,HAL,0.08%,Oil & Gas Equipment & Services,US,---,"$34,417,448.84","891,182"
,2636607,Newmont Corp.,NEM,0.08%,Gold,US,---,"$34,380,153.00","872,150"
,BQ1PC76,Atlassian Corp.,TEAM,0.08%,Application Software,US,---,"$34,014,965.46","166,691"
,BYWH073,VICI Properties Inc.,VICI,0.08%,Other Specialized REITs,US,---,"$33,985,464.12","1,101,993"
,2216850,Consolidated Edison Inc.,ED,0.08%,Multi-Utilities,US,---,"$33,817,432.32","380,142"
,2707677,Public Service Enterprise Group Inc.,PEG,0.08%,Multi-Utilities,US,---,"$33,455,348.40","547,730"
,2150204,Quanta Services Inc.,PWR,0.08%,Construction & Engineering,US,---,"$33,441,315.41","159,343"
,BFH3N85,Veeva Systems Inc.,VEEV,0.08%,Health Care Technology,US,---,"$33,374,260.50","159,915"
,B5B1S13,Dollar General Corp.,DG,0.08%,Consumer Staples Merchandise Retail,US,---,"$33,302,879.00","240,454"
,2511920,Lennar Corp.,LEN,0.08%,Homebuilding,US,---,"$33,155,370.54","278,406"
,2950482,West Pharmaceutical Services Inc.,WST,0.08%,Life Sciences Tools & Services,US,---,"$33,153,805.10","81,479"
,2795393,Cencora Inc.,COR,0.08%,Health Care Distributors,US,---,"$32,972,140.74","187,363"
,2497406,Kroger Co.,KR,0.08%,Food Retail,US,---,"$32,877,891.92","708,728"
,2262530,Republic Services Inc.,RSG,0.08%,Environmental & Facilities Services,US,---,"$32,517,601.69","225,613"
,2130109,ONEOK Inc.,OKE,0.08%,Oil & Gas Storage & Transportation,US,---,"$32,023,306.00","491,155"
,2931205,Vulcan Materials Co.,VMC,0.07%,Construction Materials,US,---,"$31,861,881.00","145,988"
,BLPK4D2,Seagen Inc.,SGEN,0.07%,Biotechnology,US,---,"$31,802,989.17","154,331"
,BM8JYX3,Warner Bros Discovery Inc.,WBD,0.07%,Movies & Entertainment,US,---,"$31,618,177.56","2,406,254"
,BBM5MD6,CDW Corp./DE,CDW,0.07%,Technology Distributors,US,---,"$31,240,064.80","147,952"
,2093666,Berkshire Hathaway Inc.,BRK.A,0.07%,Multi-Sector Holdings,US,---,"$31,163,325.00",57
,2019952,Allstate Corp.,ALL,0.07%,Property & Casualty Insurance,US,---,"$31,094,344.58","288,418"
,BL5GZ82,Ingersoll Rand Inc.,IR,0.07%,Industrial Machinery & Supplies & Components,US,---,"$30,906,074.29","443,989"
,BYT3MK1,Fortive Corp.,FTV,0.07%,Industrial Machinery & Supplies & Components,US,---,"$30,595,377.00","388,020"
,2572079,Martin Marietta Materials Inc.,MLM,0.07%,Construction Materials,US,---,"$30,363,915.38","68,018"
,2045623,ANSYS Inc.,ANSS,0.07%,Application Software,US,---,"$30,330,276.66","95,118"
,B1W9D46,Delta Air Lines Inc.,DAL,0.07%,Passenger Airlines,US,---,"$30,245,836.80","705,360"
,B7Y8YR3,Diamondback Energy Inc.,FANG,0.07%,Oil & Gas Exploration & Production,US,---,"$30,173,105.10","198,795"
,B783TY6,Aptiv plc,APTV,0.07%,Automotive Parts & Equipment,US,---,"$30,130,142.75","296,995"
,BL6JPG8,GE HealthCare Technologies Inc.,GEHC,0.07%,Health Care Equipment,US,---,"$29,880,803.90","424,142"
,B02HWR9,Extra Space Storage Inc.,EXR,0.07%,Self-Storage REITs,US,---,"$29,852,473.20","231,990"
,2740542,Arch Capital Group Ltd.,ACGL,0.07%,Property & Casualty Insurance,US,---,"$29,836,821.42","388,197"
,B2R3PV1,American Water Works Co. Inc.,AWK,0.07%,Water Utilities,US,---,"$29,651,790.28","213,722"
,2679204,Align Technology Inc.,ALGN,0.07%,Health Care Supplies,US,---,"$29,533,470.60","79,790"
,2126249,Mettler-Toledo International Inc.,MTD,0.07%,Life Sciences Tools & Services,US,---,"$29,327,384.64","24,168"
,BYY8XK8,WEC Energy Group Inc.,WEC,0.07%,Multi-Utilities,US,---,"$29,123,437.56","346,213"
,BYRY499,Kraft Heinz Co.,KHC,0.07%,Packaged Foods & Meats,US,---,"$28,963,478.46","875,294"
,2829515,Edison International,EIX,0.07%,Electric Utilities,US,---,"$28,946,674.35","420,431"
,BYX4D52,HP Inc.,HPQ,0.07%,"Technology Hardware, Storage & Periphera",US,---,"$28,922,744.42","973,502"
,2372763,Gartner Inc.,IT,0.07%,IT Consulting & Other Services,US,---,"$28,828,668.24","82,443"
,2613990,Illumina Inc.,ILMN,0.07%,Life Sciences Tools & Services,US,---,"$28,664,843.90","173,495"
,2131179,AvalonBay Communities Inc.,AVB,0.07%,Multi-Family Residential REITs,US,---,"$28,642,832.40","155,820"
,BQPVQZ6,Horizon Therapeutics plc,HZNP,0.07%,Biotechnology,US,---,"$28,290,750.12","250,938"
,BR4T3B3,HubSpot Inc.,HUBS,0.07%,Application Software,US,---,"$28,285,689.12","51,756"
,BKT9Y49,Datadog Inc.,DDOG,0.07%,Application Software,US,---,"$28,235,643.84","292,658"
,2272476,Dollar Tree Inc.,DLTR,0.07%,Consumer Staples Merchandise Retail,US,---,"$28,224,047.04","230,664"
,B3SPXZ3,LyondellBasell Industries NV,LYB,0.07%,Commodity Chemicals,US,---,"$28,215,922.21","285,673"
,BN78DQ4,Palantir Technologies Inc.,PLTR,0.07%,Application Software,US,---,"$28,139,795.18","1,878,491"
,BF2FJ99,MongoDB Inc.,MDB,0.07%,Internet Services & Infrastructure,US,---,"$28,039,276.80","73,536"
,2319146,Equifax Inc.,EFX,0.07%,Research & Consulting Services,US,---,"$27,820,993.20","134,596"
,2702337,T Rowe Price Group Inc.,TROW,0.07%,Asset Management & Custody Banks,US,---,"$27,661,664.79","246,473"
,B6WVMH3,CBRE Group Inc.,CBRE,0.06%,Real Estate Services,US,---,"$27,562,068.45","324,069"
,2224701,Corning Inc.,GLW,0.06%,Electronic Components,US,---,"$27,560,430.90","839,745"
,2783815,Zimmer Biomet Holdings Inc.,ZBH,0.06%,Health Care Equipment,US,---,"$27,262,637.04","228,867"
,B3P2CN8,Xylem Inc./NY,XYL,0.06%,Industrial Machinery & Supplies & Components,US,---,"$27,194,884.54","262,651"
,B00FWN1,Alnylam Pharmaceuticals Inc.,ALNY,0.06%,Biotechnology,US,---,"$27,037,246.32","136,676"
,BZ6TS23,SBA Communications Corp.,SBAC,0.06%,Telecom Tower REITs,US,---,"$26,699,535.89","118,913"
,BN13P03,DoorDash Inc.,DASH,0.06%,Restaurants,US,---,"$26,665,171.76","316,952"
,2122117,Take-Two Interactive Software Inc.,TTWO,0.06%,Interactive Home Entertainment,US,---,"$26,357,907.60","185,358"
,2958936,Weyerhaeuser Co.,WY,0.06%,Timber REITs,US,---,"$26,344,460.25","804,411"
,2900335,Tractor Supply Co.,TSCO,0.06%,Other Specialty Retail,US,---,"$26,280,306.00","120,276"
,2293819,eBay Inc.,EBAY,0.06%,Broadline Retail,US,---,"$26,273,814.18","586,731"
,BQZJ0Q9,Keysight Technologies Inc.,KEYS,0.06%,Electronic Equipment & Instruments,US,---,"$26,058,283.80","195,486"
,2195841,Church & Dwight Co. Inc.,CHD,0.06%,Household Products,US,---,"$25,953,036.61","268,193"
,B01Z7J1,Monolithic Power Systems Inc.,MPWR,0.06%,Semiconductors,US,---,"$25,775,919.34","49,454"
,2732903,ResMed Inc.,RMD,0.06%,Health Care Equipment,US,---,"$25,737,398.48","161,272"
,2319157,Equity Residential,EQR,0.06%,Multi-Family Residential REITs,US,---,"$25,613,749.53","395,091"
,2046853,Albemarle Corp.,ALB,0.06%,Specialty Chemicals,US,---,"$25,591,463.48","128,788"
,B1YLC43,Discover Financial Services,DFS,0.06%,Consumer Finance,US,---,"$25,096,654.45","278,635"
,BFY8C75,STERIS plc,STE,0.06%,Health Care Equipment,US,---,"$25,039,085.40","109,060"
,2476193,Hartford Financial Services Group Inc.,HIG,0.06%,Multi-line Insurance,US,---,"$24,452,124.48","340,464"
,BVVN4Q8,Eversource Energy,ES,0.06%,Electric Utilities,US,---,"$24,439,996.64","382,952"
,2175672,Cardinal Health Inc.,CAH,0.06%,Health Care Distributors,US,---,"$24,411,180.24","279,528"
,BYVYWS0,Hewlett Packard Enterprise Co.,HPE,0.06%,"Technology Hardware, Storage & Periphera",US,---,"$24,165,165.83","1,422,317"
,BDB6Q21,Willis Towers Watson plc,WTW,0.06%,Insurance Brokers,US,---,"$24,142,951.68","116,768"
,B1VP7R6,Broadridge Financial Solutions Inc.,BR,0.06%,Data Processing & Outsourced Services,US,---,"$24,124,995.18","129,558"
,2842040,State Street Corp.,STT,0.06%,Asset Management & Custody Banks,US,---,"$23,955,408.82","348,493"
,2367480,Genuine Parts Co.,GPC,0.06%,Distributors,US,---,"$23,700,092.91","154,167"
,2754907,Royal Caribbean Cruises Ltd.,RCL,0.06%,"Hotels, Resorts & Cruise Lines",US,---,"$23,614,108.74","238,671"
,BD81GW9,Invitation Homes Inc.,INVH,0.05%,Single-Family Residential REITs,US,---,"$22,904,593.74","671,886"
,B28TS42,Ulta Beauty Inc.,ULTA,0.05%,Other Specialty Retail,US,---,"$22,864,832.76","55,092"
,2050832,Ameren Corp.,AEE,0.05%,Multi-Utilities,US,---,"$22,842,918.82","288,166"
,2278407,Dover Corp.,DOV,0.05%,Industrial Machinery & Supplies & Components,US,---,"$22,776,803.80","153,586"
,2340168,M&T Bank Corp.,MTB,0.05%,Regional Banks,US,---,"$22,773,355.70","182,114"
,2965107,Nasdaq Inc.,NDAQ,0.05%,Financial Exchanges & Data,US,---,"$22,619,562.24","431,013"
,2550161,McCormick & Co. Inc./MD,MKC,0.05%,Packaged Foods & Meats,US,---,"$22,598,019.36","275,317"
,2085102,Baxter International Inc.,BAX,0.05%,Health Care Equipment,US,---,"$22,527,762.60","554,871"
,2146838,Brown-Forman Corp.,BF.B,0.05%,Distillers & Vintners,US,---,"$22,455,235.06","339,562"
,2162340,Coterra Energy Inc.,CTRA,0.05%,Oil & Gas Exploration & Production,US,---,"$22,280,558.49","790,371"
,2955733,Westinghouse Air Brake Technologies Corp.,WAB,0.05%,Construction Machinery & Heavy Transportation Equipment,US,---,"$22,224,500.32","197,516"
,2317087,Entergy Corp.,ETR,0.05%,Electric Utilities,US,---,"$22,117,050.00","232,200"
,2009210,Alexandria Real Estate Equities Inc.,ARE,0.05%,Office REITs,US,---,"$22,091,802.60","189,890"
,B424494,Splunk Inc.,SPLK,0.05%,Application Software,US,---,"$22,049,918.40","181,840"
,2718992,Raymond James Financial Inc.,RJF,0.05%,Investment Banking & Brokerage,US,---,"$21,901,982.72","209,408"
,2503477,Teledyne Technologies Inc.,TDY,0.05%,Electronic Equipment & Instruments,US,---,"$21,608,123.10","51,657"
,2637785,NVR Inc.,NVR,0.05%,Homebuilding,US,---,"$21,606,394.04","3,388"
,2100920,FirstEnergy Corp.,FE,0.05%,Electric Utilities,US,---,"$21,552,979.24","597,532"
,2204026,Clorox Co.,CLX,0.05%,Household Products,US,---,"$21,244,501.95","135,791"
,B1HMF22,First Solar Inc.,FSLR,0.05%,Semiconductors,US,---,"$21,071,183.04","111,417"
,2280220,DTE Energy Co.,DTE,0.05%,Multi-Utilities,US,---,"$21,054,370.80","203,660"
,B4R28B3,FleetCor Technologies Inc.,FLT,0.05%,Transaction & Payment Processing Service,US,---,"$20,906,906.20","76,940"
,2803014,Principal Financial Group Inc.,PFG,0.05%,Life & Health Insurance,US,---,"$20,721,993.18","266,658"
,B02T2J7,Las Vegas Sands Corp.,LVS,0.05%,Casinos & Gaming,US,---,"$20,711,954.12","377,542"
,2289874,Darden Restaurants Inc.,DRI,0.05%,Restaurants,US,---,"$20,647,684.74","132,774"
,2831543,Southwest Airlines Co.,LUV,0.05%,Passenger Airlines,US,---,"$20,630,439.20","652,862"
,2566436,Markel Group Inc.,MKL,0.05%,Property & Casualty Insurance,US,---,"$20,593,961.00","13,925"
,BTN1Y44,Walgreens Boots Alliance Inc.,WBA,0.05%,Drug Retail,US,---,"$20,378,144.02","805,142"
,BVFTF03,Iron Mountain Inc.,IRM,0.05%,Other Specialized REITs,US,---,"$20,353,450.50","320,325"
,2586122,Laboratory Corp. of America Holdings,LH,0.05%,Health Care Services,US,---,"$20,238,141.20","97,252"
,2142922,VeriSign Inc.,VRSN,0.05%,Internet Services & Infrastructure,US,---,"$20,188,460.82","97,158"
,2433530,Hologic Inc.,HOLX,0.05%,Health Care Equipment,US,---,"$20,187,423.48","270,102"
,2680905,PPL Corp.,PPL,0.05%,Electric Utilities,US,---,"$20,170,372.60","809,405"
,2708841,PulteGroup Inc.,PHM,0.05%,Homebuilding,US,---,"$20,115,860.16","245,136"
,2222631,Cooper Cos. Inc.,COO,0.05%,Health Care Supplies,US,---,"$20,086,017.12","54,288"
,2212706,Molina Healthcare Inc.,MOH,0.05%,Managed Health Care,US,---,"$19,858,844.32","64,036"
,2336747,Fifth Third Bancorp,FITB,0.05%,Diversified Banks,US,---,"$19,850,213.70","747,654"
,2464165,International Flavors & Fragrances Inc.,IFF,0.05%,Specialty Chemicals,US,---,"$19,751,996.05","280,369"
,B75JX34,LPL Financial Holdings Inc.,LPLA,0.05%,Investment Banking & Brokerage,US,---,"$19,668,404.64","85,296"
,BJXC5M2,Cloudflare Inc.,NET,0.05%,Internet Services & Infrastructure,US,---,"$19,639,840.36","302,012"
,2325507,Expeditors International of Washington Inc.,EXPD,0.05%,Air Freight & Logistics,US,---,"$19,580,203.28","167,768"
,2440637,CenterPoint Energy Inc.,CNP,0.05%,Multi-Utilities,US,---,"$19,303,059.46","692,114"
,2927925,Ventas Inc.,VTR,0.05%,Health Care REITs,US,---,"$19,189,104.48","439,311"
,B65SQW4,Enphase Energy Inc.,ENPH,0.04%,Semiconductor Materials & Equipment,US,---,"$19,032,769.13","150,421"
,2961053,Skyworks Solutions Inc.,SWKS,0.04%,Semiconductors,US,---,"$19,007,425.78","174,797"
,B01R311,Regions Financial Corp.,RF,0.04%,Regional Banks,US,---,"$18,902,946.30","1,030,695"
,2437071,BioMarin Pharmaceutical Inc.,BMRN,0.04%,Biotechnology,US,---,"$18,842,099.10","206,195"
,2073022,Ball Corp.,BALL,0.04%,"Metal, Glass & Plastic Containers",US,---,"$18,790,912.80","345,104"
,BNGC0D3,Jacobs Solutions Inc.,J,0.04%,Research & Consulting Services,US,---,"$18,789,998.22","139,371"
,2589132,Mid-America Apartment Communities Inc.,MAA,0.04%,Multi-Family Residential REITs,US,---,"$18,609,191.28","128,136"
,2884183,Teradyne Inc.,TER,0.04%,Semiconductor Materials & Equipment,US,---,"$18,368,966.56","170,288"
,2329770,FactSet Research Systems Inc.,FDS,0.04%,Financial Exchanges & Data,US,---,"$18,366,751.26","42,086"
,2909644,Tyler Technologies Inc.,TYL,0.04%,Application Software,US,---,"$18,348,099.93","46,051"
,2196888,Cincinnati Financial Corp.,CINF,0.04%,Property & Casualty Insurance,US,---,"$18,256,074.51","172,569"
,BF14BT1,Ares Management Corp.,ARES,0.04%,Asset Management & Custody Banks,US,---,"$18,253,643.04","176,466"
,2937689,Waters Corp.,WAT,0.04%,Life Sciences Tools & Services,US,---,"$18,211,845.60","64,857"
,2507457,Akamai Technologies Inc.,AKAM,0.04%,Internet Services & Infrastructure,US,---,"$18,045,319.17","171,713"
,2630643,NetApp Inc.,NTAP,0.04%,"Technology Hardware, Storage & Periphera",US,---,"$18,019,284.40","234,932"
,2219224,CMS Energy Corp.,CMS,0.04%,Multi-Utilities,US,---,"$17,997,825.57","320,303"
,BJ2Z0H2,Pinterest Inc.,PINS,0.04%,Interactive Media & Services,US,---,"$17,932,386.76","652,324"
,2910970,Marathon Oil Corp.,MRO,0.04%,Oil & Gas Exploration & Production,US,---,"$17,875,681.90","678,394"
,B4QG225,United Airlines Holdings Inc.,UAL,0.04%,Passenger Airlines,US,---,"$17,861,716.57","358,597"
,B3Z5T14,Garmin Ltd.,GRMN,0.04%,Consumer Electronics,US,---,"$17,813,904.48","168,024"
,2279303,Omnicom Group Inc.,OMC,0.04%,Advertising,US,---,"$17,745,402.52","219,052"
,2445966,Huntington Bancshares Inc./OH,HBAN,0.04%,Regional Banks,US,---,"$17,597,390.20","1,586,780"
,2523044,Carnival Corp.,CCL,0.04%,"Hotels, Resorts & Cruise Lines",US,---,"$17,450,804.70","1,103,085"
,BL98841,Rivian Automotive Inc.,RIVN,0.04%,Automobile Manufacturers,US,---,"$17,439,183.36","767,232"
,BGSP7M9,Zoom Video Communications Inc.,ZM,0.04%,Application Software,US,---,"$17,356,748.74","244,358"
,B5834C5,Cboe Global Markets Inc.,CBOE,0.04%,Financial Exchanges & Data,US,---,"$17,344,801.76","115,856"
,2486813,Kellogg Co.,K,0.04%,Packaged Foods & Meats,US,---,"$17,231,986.98","282,399"
,BYMWL86,TransUnion,TRU,0.04%,Research & Consulting Services,US,---,"$17,225,787.36","212,088"
,2885937,Textron Inc.,TXT,0.04%,Aerospace & Defense,US,---,"$17,221,157.68","221,608"
,2556868,Everest Group Ltd.,EG,0.04%,Reinsurance,US,---,"$17,197,943.76","47,682"
,2445416,JB Hunt Transport Services Inc.,JBHT,0.04%,Cargo Ground Transportation,US,---,"$17,131,086.28","91,181"
,B748CK2,Expedia Group Inc.,EXPE,0.04%,"Hotels, Resorts & Cruise Lines",US,---,"$16,978,209.60","156,640"
,2316619,Essex Property Trust Inc.,ESS,0.04%,Multi-Family Residential REITs,US,---,"$16,810,070.85","70,515"
,2860257,Sun Communities Inc.,SUI,0.04%,Single-Family Residential REITs,US,---,"$16,729,305.10","136,655"
,2066408,Avery Dennison Corp.,AVY,0.04%,Paper & Plastic Packaging Products & Materials,US,---,"$16,714,769.02","88,729"
,2909730,Tyson Foods Inc.,TSN,0.04%,Packaged Foods & Meats,US,---,"$16,690,396.59","313,317"
,BL95MY0,Paycom Software Inc.,PAYC,0.04%,Human Resource & Employment Services,US,---,"$16,583,570.64","56,246"
,2648668,Northern Trust Corp.,NTRS,0.04%,Asset Management & Custody Banks,US,---,"$16,539,595.82","217,426"
,2094670,Best Buy Co. Inc.,BBY,0.04%,Computer & Electronics Retail,US,---,"$16,529,483.85","216,213"
,B0G4K50,CF Industries Holdings Inc.,CF,0.04%,Fertilizers & Agricultural Chemicals,US,---,"$16,506,544.32","214,176"
,B44Z3T8,EPAM Systems Inc.,EPAM,0.04%,IT Consulting & Other Services,US,---,"$16,479,274.71","63,629"
,2702791,Quest Diagnostics Inc.,DGX,0.04%,Health Care Services,US,---,"$16,179,102.50","123,035"
,2951452,J M Smucker Co.,SJM,0.04%,Packaged Foods & Meats,US,---,"$16,128,731.45","111,271"
,2305844,Revvity Inc.,RVTY,0.04%,Life Sciences Tools & Services,US,---,"$16,126,734.00","137,800"
,BJLT387,Avantor Inc.,AVTR,0.04%,Life Sciences Tools & Services,US,---,"$16,059,255.55","741,767"
,B3Q2FJ4,Stanley Black & Decker Inc.,SWK,0.04%,Industrial Machinery & Supplies & Components,US,---,"$15,877,924.92","168,234"
,2954699,Western Digital Corp.,WDC,0.04%,"Technology Hardware, Storage & Periphera",US,---,"$15,819,795.00","351,551"
,2215460,Conagra Brands Inc.,CAG,0.04%,Packaged Foods & Meats,US,---,"$15,653,116.08","523,866"
,2818740,Snap-on Inc.,SNA,0.04%,Industrial Machinery & Supplies & Components,US,---,"$15,626,342.20","58,177"
,2989356,Zebra Technologies Corp.,ZBRA,0.04%,Electronic Equipment & Instruments,US,---,"$15,539,715.06","56,506"
,2971029,LKQ Corp.,LKQ,0.04%,Distributors,US,---,"$15,421,862.46","293,582"
,BKVD2N4,Seagate Technology Holdings plc,STX,0.04%,"Technology Hardware, Storage & Periphera",US,---,"$15,306,001.43","216,217"
,B826YT8,WP Carey Inc.,WPC,0.04%,Diversified REITs,US,---,"$15,287,465.55","235,011"
,BP96PS6,Synchrony Financial,SYF,0.04%,Consumer Finance,US,---,"$15,191,807.28","470,626"
,B01SD70,Domino's Pizza Inc.,DPZ,0.04%,Restaurants,US,---,"$15,043,129.40","38,831"
,BHKD3S6,Dell Technologies Inc.,DELL,0.04%,"Technology Hardware, Storage & Periphera",US,---,"$14,998,364.40","266,685"
,B0T7YX2,Live Nation Entertainment Inc.,LYV,0.04%,Movies & Entertainment,US,---,"$14,946,763.66","176,822"
,BZ00V34,Zscaler Inc.,ZS,0.04%,Systems Software,US,---,"$14,932,268.45","95,689"
,2903958,Trimble Inc.,TRMB,0.04%,Electronic Equipment & Instruments,US,---,"$14,921,070.28","272,332"
,2504566,Packaging Corp. of America,PKG,0.03%,Paper & Plastic Packaging Products & Materials,US,---,"$14,740,920.60","98,866"
,B1XGNW4,Insulet Corp.,PODD,0.03%,Health Care Equipment,US,---,"$14,670,416.04","76,524"
,2570200,Masco Corp.,MAS,0.03%,Building Products,US,---,"$14,588,216.16","247,216"
,2727910,UDR Inc.,UDR,0.03%,Multi-Family Residential REITs,US,---,"$14,442,164.10","361,959"
,BK80XH9,Match Group Inc.,MTCH,0.03%,Interactive Media & Services,US,---,"$14,345,969.60","306,080"
,BQRX1X3,Citizens Financial Group Inc.,CFG,0.03%,Regional Banks,US,---,"$14,222,612.39","505,603"
,2983563,CarMax Inc.,KMX,0.03%,Automotive Retail,US,---,"$14,191,900.00","173,750"
,B3NPHP6,Mosaic Co.,MOS,0.03%,Fertilizers & Agricultural Chemicals,US,---,"$14,178,734.85","364,961"
,BMWS3X9,Viatris Inc.,VTRS,0.03%,Pharmaceuticals,US,---,"$14,132,380.00","1,314,640"
,BDFZSP1,Okta Inc.,OKTA,0.03%,Internet Services & Infrastructure,US,---,"$14,095,736.41","168,791"
,2547419,MGM Resorts International,MGM,0.03%,Casinos & Gaming,US,---,"$14,050,862.34","319,483"
,2973821,Alliant Energy Corp.,LNT,0.03%,Electric Utilities,US,---,"$13,854,897.03","276,159"
,BFMXGR0,Evergy Inc.,EVRG,0.03%,Electric Utilities,US,---,"$13,838,312.71","251,743"
,B05MZT4,Celanese Corp.,CE,0.03%,Specialty Chemicals,US,---,"$13,602,148.56","107,646"
,2471950,Incyte Corp.,INCY,0.03%,Biotechnology,US,---,"$13,449,729.78","208,426"
,B58YSC6,SS&C Technologies Holdings Inc.,SSNC,0.03%,Data Processing & Outsourced Services,US,---,"$13,334,589.18","232,229"
,2465254,International Paper Co.,IP,0.03%,Paper & Plastic Packaging Products & Materials,US,---,"$13,288,002.84","380,527"
,2093644,W R Berkley Corp.,WRB,0.03%,Property & Casualty Insurance,US,---,"$13,259,876.58","214,353"
,2523022,Loews Corp.,L,0.03%,Property & Casualty Insurance,US,---,"$13,182,886.71","212,319"
,2002479,AES Corp.,AES,0.03%,Independent Power Producers & Energy Tra,US,---,"$13,182,853.20","735,240"
,BMC9P69,Coinbase Global Inc.,COIN,0.03%,Financial Exchanges & Data,US,---,"$13,075,653.20","164,267"
,BKDS4H5,BILL Holdings Inc.,BILL,0.03%,Application Software,US,---,"$12,769,936.20","110,754"
,2166320,Camden Property Trust,CPT,0.03%,Multi-Family Residential REITs,US,---,"$12,599,396.26","117,073"
,BMVP7Y0,Royalty Pharma plc,RPRX,0.03%,Pharmaceuticals,US,---,"$12,459,094.20","417,810"
,BJBLRK3,Healthpeak Properties Inc.,PEAK,0.03%,Health Care REITs,US,---,"$12,340,405.98","599,631"
,BMC1PR6,Bentley Systems Inc.,BSY,0.03%,Application Software,US,---,"$12,336,653.98","247,178"
,BRTLC06,Liberty Broadband Corp.,LBRDK,0.03%,Cable & Satellite,US,---,"$12,307,818.00","131,550"
,BWFRFC6,GoDaddy Inc.,GDDY,0.03%,Internet Services & Infrastructure,US,---,"$12,257,742.99","169,049"
,2427986,Crown Holdings Inc.,CCK,0.03%,"Metal, Glass & Plastic Containers",US,---,"$12,231,953.94","132,009"
,BD6P5Q0,Twilio Inc.,TWLO,0.03%,Internet Services & Infrastructure,US,---,"$12,193,265.77","191,387"
,2645409,NiSource Inc.,NI,0.03%,Multi-Utilities,US,---,"$12,120,406.80","452,930"
,BJN4XN5,Gen Digital Inc.,GEN,0.03%,Systems Software,US,---,"$12,093,644.25","597,217"
,2328603,FMC Corp.,FMC,0.03%,Fertilizers & Agricultural Chemicals,US,---,"$11,818,770.03","137,061"
,BNBRDD4,Fidelity National Financial Inc.,FNF,0.03%,Property & Casualty Insurance,US,---,"$11,771,055.00","284,325"
,BR9YYP4,Qorvo Inc.,QRVO,0.03%,Semiconductors,US,---,"$11,623,678.82","108,238"
,2490911,KeyCorp,KEY,0.03%,Diversified Banks,US,---,"$11,622,642.57","1,025,829"
,2437264,Hormel Foods Corp.,HRL,0.03%,Packaged Foods & Meats,US,---,"$11,612,155.49","300,911"
,BF311Y5,Burlington Stores Inc.,BURL,0.03%,Apparel Retail,US,---,"$11,589,907.28","71,428"
,2116228,CH Robinson Worldwide Inc.,CHRW,0.03%,Air Freight & Logistics,US,---,"$11,571,241.94","127,958"
,BD8DJ71,Snap Inc.,SNAP,0.03%,Interactive Media & Services,US,---,"$11,466,961.65","1,107,919"
,BMWBC20,ROBLOX Corp.,RBLX,0.03%,Interactive Home Entertainment,US,---,"$11,322,252.09","400,221"
,BFYT7B7,DocuSign Inc.,DOCU,0.03%,Application Software,US,---,"$11,193,259.00","222,530"
,2298386,Eastman Chemical Co.,EMN,0.03%,Specialty Chemicals,US,---,"$11,105,366.36","130,636"
,2416962,Henry Schein Inc.,HSIC,0.03%,Health Care Distributors,US,---,"$10,999,716.48","143,712"
,2881407,Teleflex Inc.,TFX,0.03%,Health Care Equipment,US,---,"$10,977,809.48","51,602"
,2237561,HEICO Corp.,HEI.A,0.03%,Aerospace & Defense,US,---,"$10,923,919.23","80,661"
,BJXMVK2,Tradeweb Markets Inc.,TW,0.03%,Financial Exchanges & Data,US,---,"$10,871,770.41","125,787"
,2747305,Rollins Inc.,ROL,0.03%,Environmental & Facilities Services,US,---,"$10,707,285.87","270,591"
